Date,Sales
2023-03-25,131
2023-03-26,126
2023-03-27,137
2023-03-28,148
2023-03-29,129
2023-03-30,145
2023-03-31,135
2023-04-01,134
2023-04-02,141
2023-04-03,133
2023-04-04,138
2023-04-05,132
2023-04-06,165
2023-04-07,146
2023-04-08,140
2023-04-09,150
2023-04-10,147
2023-04-11,147
2023-04-12,156
2023-04-13,158
2023-04-14,146
2023-04-15,146
2023-04-16,150
2023-04-17,130
2023-04-18,139
2023-04-19,168
2023-04-20,172
2023-04-21,154
2023-04-22,163
2023-04-23,161
2023-04-24,189
2023-04-25,170
2023-04-26,158
2023-04-27,151
2023-04-28,145
2023-04-29,164
2023-04-30,155
2023-05-01,149
2023-05-02,157
2023-05-03,153
2023-05-04,181
2023-05-05,174
2023-05-06,166
2023-05-07,181
2023-05-08,168
2023-05-09,159
2023-05-10,183
2023-05-11,174
2023-05-12,158
2023-05-13,167
2023-05-14,161
2023-05-15,156
2023-05-16,180
2023-05-17,190
2023-05-18,157
2023-05-19,177
2023-05-20,166
2023-05-21,168
2023-05-22,167
2023-05-23,165
2023-05-24,174
2023-05-25,166
2023-05-26,177
2023-05-27,174
2023-05-28,172
2023-05-29,166
2023-05-30,169
2023-05-31,183
2023-06-01,181
2023-06-02,166
2023-06-03,177
2023-06-04,184
2023-06-05,160
2023-06-06,182
2023-06-07,170
2023-06-08,182
2023-06-09,169
2023-06-10,159
2023-06-11,161
2023-06-12,177
2023-06-13,180
2023-06-14,168
2023-06-15,183
2023-06-16,160
2023-06-17,176
2023-06-18,165
2023-06-19,170
2023-06-20,177
2023-06-21,168
2023-06-22,173
2023-06-23,187
2023-06-24,171
2023-06-25,185
2023-06-26,165
2023-06-27,181
2023-06-28,190
2023-06-29,151
2023-06-30,167
2023-07-01,181
2023-07-02,173
2023-07-03,178
2023-07-04,168
2023-07-05,175
2023-07-06,172
2023-07-07,185
2023-07-08,176
2023-07-09,177
2023-07-10,169
2023-07-11,168
2023-07-12,168
2023-07-13,176
2023-07-14,168
2023-07-15,174
2023-07-16,192
2023-07-17,180
2023-07-18,167
2023-07-19,182
2023-07-20,166
2023-07-21,149
2023-07-22,159
2023-07-23,150
2023-07-24,165
2023-07-25,168
2023-07-26,185
2023-07-27,171
2023-07-28,165
2023-07-29,175
2023-07-30,144
2023-07-31,168
2023-08-01,174
2023-08-02,151
2023-08-03,177
2023-08-04,168
2023-08-05,160
2023-08-06,170
2023-08-07,187
2023-08-08,165
2023-08-09,166
2023-08-10,158
2023-08-11,154
2023-08-12,171
2023-08-13,153
2023-08-14,162
2023-08-15,157
2023-08-16,166
2023-08-17,164
2023-08-18,171
2023-08-19,155
2023-08-20,157
2023-08-21,150
2023-08-22,155
2023-08-23,163
2023-08-24,167
2023-08-25,150
2023-08-26,168
2023-08-27,172
2023-08-28,163
2023-08-29,177
2023-08-30,151
2023-08-31,146
2023-09-01,140
2023-09-02,173
2023-09-03,164
2023-09-04,157
2023-09-05,161
2023-09-06,146
2023-09-07,182
2023-09-08,159
2023-09-09,159
2023-09-10,165
2023-09-11,163
2023-09-12,160
2023-09-13,150
2023-09-14,163
2023-09-15,177
2023-09-16,171
2023-09-17,174
2023-09-18,153
2023-09-19,149
2023-09-20,157
2023-09-21,159
2023-09-22,170
2023-09-23,142
2023-09-24,175
2023-09-25,158
2023-09-26,156
2023-09-27,150
2023-09-28,144
2023-09-29,169
2023-09-30,162
2023-10-01,148
2023-10-02,149
2023-10-03,159
2023-10-04,179
2023-10-05,160
2023-10-06,148
2023-10-07,161
2023-10-08,161
2023-10-09,137
2023-10-10,164
2023-10-11,163
2023-10-12,173
2023-10-13,185
2023-10-14,178
2023-10-15,165
2023-10-16,157
2023-10-17,194
2023-10-18,169
2023-10-19,170
2023-10-20,170
2023-10-21,173
2023-10-22,170
2023-10-23,166
2023-10-24,167
2023-10-25,173
2023-10-26,168
2023-10-27,167
2023-10-28,176
2023-10-29,173
2023-10-30,191
2023-10-31,150
2023-11-01,189
2023-11-02,191
2023-11-03,158
2023-11-04,176
2023-11-05,177
2023-11-06,167
2023-11-07,174
2023-11-08,172
2023-11-09,201
2023-11-10,193
2023-11-11,198
2023-11-12,193
2023-11-13,175
2023-11-14,182
2023-11-15,193
2023-11-16,176
2023-11-17,196
2023-11-18,188
2023-11-19,187
2023-11-20,199
2023-11-21,197
2023-11-22,189
2023-11-23,205
2023-11-24,184
2023-11-25,201
2023-11-26,202
2023-11-27,194
2023-11-28,201
2023-11-29,186
2023-11-30,208
2023-12-01,198
2023-12-02,195
2023-12-03,212
2023-12-04,195
2023-12-05,189
2023-12-06,188
2023-12-07,210
2023-12-08,192
2023-12-09,223
2023-12-10,185
2023-12-11,224
2023-12-12,209
2023-12-13,207
2023-12-14,203
2023-12-15,213
2023-12-16,210
2023-12-17,222
2023-12-18,212
2023-12-19,213
2023-12-20,209
2023-12-21,212
2023-12-22,216
2023-12-23,197
2023-12-24,201
2023-12-25,222
2023-12-26,217
2023-12-27,214
2023-12-28,217
2023-12-29,220
2023-12-30,212
2023-12-31,210
