Date,Sales
2023-03-25,101
2023-03-26,91
2023-03-27,119
2023-03-28,64
2023-03-29,103
2023-03-30,109
2023-03-31,135
2023-04-01,57
2023-04-02,102
2023-04-03,109
2023-04-04,54
2023-04-05,117
2023-04-06,55
2023-04-07,145
2023-04-08,140
2023-04-09,96
2023-04-10,147
2023-04-11,104
2023-04-12,89
2023-04-13,101
2023-04-14,65
2023-04-15,62
2023-04-16,79
2023-04-17,68
2023-04-18,66
2023-04-19,112
2023-04-20,68
2023-04-21,141
2023-04-22,107
2023-04-23,104
2023-04-24,139
2023-04-25,139
2023-04-26,111
2023-04-27,72
2023-04-28,58
2023-04-29,61
2023-04-30,50
2023-05-01,107
2023-05-02,50
2023-05-03,83
2023-05-04,145
2023-05-05,97
2023-05-06,138
2023-05-07,50
2023-05-08,65
2023-05-09,110
2023-05-10,113
2023-05-11,112
2023-05-12,118
2023-05-13,71
2023-05-14,142
2023-05-15,116
2023-05-16,125
2023-05-17,75
2023-05-18,65
2023-05-19,100
2023-05-20,135
2023-05-21,106
2023-05-22,78
2023-05-23,127
2023-05-24,141
2023-05-25,118
2023-05-26,96
2023-05-27,143
2023-05-28,111
2023-05-29,118
2023-05-30,125
2023-05-31,65
2023-06-01,139
2023-06-02,139
2023-06-03,97
2023-06-04,134
2023-06-05,88
2023-06-06,149
2023-06-07,82
2023-06-08,143
2023-06-09,72
2023-06-10,59
2023-06-11,118
2023-06-12,149
2023-06-13,83
2023-06-14,101
2023-06-15,144
2023-06-16,59
2023-06-17,68
2023-06-18,107
2023-06-19,145
2023-06-20,50
2023-06-21,118
2023-06-22,53
2023-06-23,65
2023-06-24,73
2023-06-25,129
2023-06-26,51
2023-06-27,141
2023-06-28,81
2023-06-29,140
2023-06-30,133
2023-07-01,73
2023-07-02,61
2023-07-03,99
2023-07-04,84
2023-07-05,82
2023-07-06,82
2023-07-07,110
2023-07-08,100
2023-07-09,92
2023-07-10,61
2023-07-11,116
2023-07-12,114
2023-07-13,82
2023-07-14,89
2023-07-15,123
2023-07-16,92
2023-07-17,93
2023-07-18,78
2023-07-19,62
2023-07-20,61
2023-07-21,144
2023-07-22,95
2023-07-23,51
2023-07-24,84
2023-07-25,136
2023-07-26,130
2023-07-27,139
2023-07-28,57
2023-07-29,142
2023-07-30,75
2023-07-31,123
2023-08-01,139
2023-08-02,83
2023-08-03,56
2023-08-04,117
2023-08-05,107
2023-08-06,124
2023-08-07,78
2023-08-08,85
2023-08-09,138
2023-08-10,70
2023-08-11,85
2023-08-12,59
2023-08-13,122
2023-08-14,73
2023-08-15,113
2023-08-16,148
2023-08-17,98
2023-08-18,148
2023-08-19,85
2023-08-20,131
2023-08-21,145
2023-08-22,73
2023-08-23,72
2023-08-24,111
2023-08-25,145
2023-08-26,86
2023-08-27,61
2023-08-28,104
2023-08-29,62
2023-08-30,72
2023-08-31,138
2023-09-01,140
2023-09-02,79
2023-09-03,66
2023-09-04,111
2023-09-05,133
2023-09-06,138
2023-09-07,135
2023-09-08,62
2023-09-09,108
2023-09-10,68
2023-09-11,98
2023-09-12,149
2023-09-13,61
2023-09-14,110
2023-09-15,68
2023-09-16,125
2023-09-17,58
2023-09-18,120
2023-09-19,77
2023-09-20,127
2023-09-21,144
2023-09-22,101
2023-09-23,132
2023-09-24,65
2023-09-25,118
2023-09-26,148
2023-09-27,61
2023-09-28,74
2023-09-29,101
2023-09-30,134
2023-10-01,148
2023-10-02,102
2023-10-03,72
2023-10-04,65
2023-10-05,106
2023-10-06,88
2023-10-07,102
2023-10-08,91
2023-10-09,107
2023-10-10,88
2023-10-11,63
2023-10-12,144
2023-10-13,54
2023-10-14,84
2023-10-15,136
2023-10-16,142
2023-10-17,124
2023-10-18,67
2023-10-19,125
2023-10-20,58
2023-10-21,123
2023-10-22,107
2023-10-23,66
2023-10-24,56
2023-10-25,95
2023-10-26,62
2023-10-27,89
2023-10-28,91
2023-10-29,58
2023-10-30,99
2023-10-31,76
2023-11-01,115
2023-11-02,54
2023-11-03,78
2023-11-04,86
2023-11-05,87
2023-11-06,132
2023-11-07,57
2023-11-08,114
2023-11-09,135
2023-11-10,66
2023-11-11,120
2023-11-12,138
2023-11-13,94
2023-11-14,53
2023-11-15,85
2023-11-16,119
2023-11-17,80
2023-11-18,68
2023-11-19,110
2023-11-20,103
2023-11-21,88
2023-11-22,140
2023-11-23,123
2023-11-24,139
2023-11-25,68
2023-11-26,88
2023-11-27,116
2023-11-28,94
2023-11-29,62
2023-11-30,141
2023-12-01,107
2023-12-02,69
2023-12-03,141
2023-12-04,121
2023-12-05,110
2023-12-06,88
2023-12-07,50
2023-12-08,52
2023-12-09,126
2023-12-10,141
2023-12-11,111
2023-12-12,112
2023-12-13,74
2023-12-14,105
2023-12-15,82
2023-12-16,87
2023-12-17,55
2023-12-18,107
2023-12-19,93
2023-12-20,94
2023-12-21,81
2023-12-22,94
2023-12-23,110
2023-12-24,96
2023-12-25,70
2023-12-26,129
2023-12-27,134
2023-12-28,124
2023-12-29,85
2023-12-30,148
2023-12-31,68
